#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
7.7%	385000	-107942.06070126873	298.67429348066327	631
7.7%	386000	-108074.42368608271	294.2414625165183	631
7.7%	387000	-108133.17259818432	294.5862042544542	631
7.8%	388000	-108281.22506600595	296.00130566344285	631
7.8%	389000	-108670.1115241982	300.09744458049084	631
7.8%	390000	-108514.0337806344	295.2324103882115	631
7.8%	391000	-108274.0835157733	300.21053436656973	631
7.8%	392000	-108275.56830343674	300.30694285795227	631
7.9%	393000	-107816.67194759403	297.62599474688136	631
7.9%	394000	-108258.26923661446	301.21222906571535	630
7.9%	395000	-108338.70497258822	302.8733480280778	630
7.9%	396000	-108092.71950576571	293.1230730883141	630
7.9%	397000	-108501.71873263805	301.8424234546646	630
8.0%	398000	-107857.22044039355	296.70512829905095	630
8.0%	399000	-108068.39501946163	299.39138460491705	630
8.0%	400000	-108356.67299349443	303.3397275831529	630
8.0%	401000	-107749.79972815467	299.63483864755665	630
8.0%	402000	-107988.44590156153	299.7131906610077	630
8.1%	403000	-107602.31942333211	297.0905170866423	630
8.1%	404000	-107735.01031299331	295.28634016422654	630
8.1%	405000	-108013.71319524245	309.78963870559613	630
8.1%	406000	-108363.10820128908	300.9286926283212	630
8.1%	407000	-108791.39316442213	303.94747876990084	630
8.2%	408000	-108119.32125899033	300.94457022315964	630
8.2%	409000	-107800.41710304539	303.3421378289807	630
8.2%	410000	-108191.16274963086	300.1747312336177	630
8.2%	411000	-107811.68561149715	301.2085942978732	630
8.2%	412000	-108066.86459079944	304.81232037889066	629
8.3%	413000	-107530.0870003677	303.82492699332937	629
8.3%	414000	-107961.58407854079	299.18133069728094	629
8.3%	415000	-108230.20138394483	309.13674098701466	629
8.3%	416000	-107755.43122719973	308.1159766293566	629
8.3%	417000	-107775.6326434291	302.15269658928077	629
8.4%	418000	-107666.14628322376	303.02387562090826	629
8.4%	419000	-108137.1998456989	300.08466905320415	629
8.4%	420000	-108393.86556348437	299.4503103517965	629
8.4%	421000	-107503.67474223534	294.22951833016685	629
8.4%	422000	-107911.72232926334	302.41053444557963	629
8.5%	423000	-108336.0379540408	308.80048552464797	629
8.5%	424000	-107973.46910629352	301.00845434924776	629
8.5%	425000	-108007.19882736565	300.45288891950537	629
8.5%	426000	-107968.10317236767	297.6260295215858	629
8.5%	427000	-107983.9338125682	307.66068369177503	629
8.6%	428000	-107291.17774713738	300.4728909781916	629
8.6%	429000	-108013.3180846048	298.4836615240183	629
8.6%	430000	-108073.20728583541	295.77762822462495	629
8.6%	431000	-108119.42022460815	300.40436676999695	629
8.6%	432000	-108059.05276994663	295.17900592699084	628
8.7%	433000	-107881.70723859267	301.2516306726651	628
8.7%	434000	-108042.78612530185	295.0375946865744	628
8.7%	435000	-107568.47148422734	301.0180440577693	628
8.7%	436000	-107881.87194057368	305.10402821308054	628
8.7%	437000	-108030.57224155916	300.8326915467918	628
8.8%	438000	-107946.77274590568	301.4410237630367	628
8.8%	439000	-107931.30550911697	293.38829320519653	628
8.8%	440000	-108414.46710571926	299.55253471694965	628
8.8%	441000	-107739.72033893084	300.1821621241303	628
8.8%	442000	-107956.66710503981	297.97571380156137	628
8.9%	443000	-108391.6450370003	301.0373806140812	628
8.9%	444000	-107841.95555752609	295.06220563476546	628
8.9%	445000	-108126.52156701381	296.9342276969905	628
8.9%	446000	-108427.79616363277	298.7146318891926	628
8.9%	447000	-108304.63505275128	310.0303504343343	628
9.0%	448000	-107606.77808388998	299.55370289174715	628
9.0%	449000	-107852.65408308245	310.5276766980759	628
9.0%	450000	-107809.210515894	309.7273023130272	628
9.0%	451000	-107757.87587846885	309.35860729688665	628
9.0%	452000	-108227.06315534818	296.4239914012225	628
9.1%	453000	-108184.1808770881	294.2290114306783	628
9.1%	454000	-108258.61362158647	298.07509327698966	627
9.1%	455000	-107920.5804565053	293.22331650811356	627
9.1%	456000	-108123.47692935634	301.3147058799739	627
9.1%	457000	-107734.06587476027	305.08942976326165	627
9.2%	458000	-107258.7836783838	301.80102611846735	627
9.2%	459000	-106944.82994802971	302.0851780996212	627
9.2%	460000	-107527.52835060935	301.30340947617185	627
9.2%	461000	-107986.35450253612	306.8731971695533	627
9.2%	462000	-107579.80353944073	299.03409695388564	627
9.3%	463000	-107533.36100769276	298.6467448462737	627
9.3%	464000	-107625.33060267149	298.01548772912355	627
9.3%	465000	-108070.91725852876	299.84742138228904	627
9.3%	466000	-107947.85837745992	300.4112968747796	627
9.3%	467000	-108533.92164515308	297.63935939132875	627
9.4%	468000	-108123.64071566192	299.5714194007639	627
9.4%	469000	-108060.05128104915	298.35989006946454	627
9.4%	470000	-108094.59929254907	295.8450560571088	627
9.4%	471000	-107994.48548152996	301.69113580741396	627
9.4%	472000	-108334.33192865248	302.148450297695	627
9.5%	473000	-108387.19701249688	300.51807092431864	627
9.5%	474000	-107850.5262936058	301.04530205244635	626
9.5%	475000	-107984.95026064524	300.21848552763754	626
9.5%	476000	-107863.58088979404	304.11809621948436	626
9.5%	477000	-107501.04769938788	304.21263504244325	626
9.6%	478000	-107849.92060271371	297.3240005993878	626
9.6%	479000	-108134.15669243527	297.62078438739184	626
9.6%	480000	-108046.76325489371	300.25646638576035	626
9.6%	481000	-107931.15601649648	301.80838205279605	626
9.6%	482000	-108096.92539759888	300.00029882431653	626
9.7%	483000	-108570.76169970934	302.51168050430016	626
9.7%	484000	-107991.01046614558	298.4885646105341	626
9.7%	485000	-108111.57634828752	298.21813733702174	626
9.7%	486000	-108314.827286463	303.3949558615845	626
9.7%	487000	-107505.80665013543	301.6219879046243	626
9.8%	488000	-107430.41259867209	302.5993691434069	626
9.8%	489000	-107413.9118875144	307.2644680786439	626
9.8%	490000	-107440.90256198402	306.96584503466676	626
9.8%	491000	-107456.87035063049	301.6605797731939	626
9.8%	492000	-107693.94779271912	302.115279814177	626
9.9%	493000	-107602.30728733982	298.7721447248063	626
9.9%	494000	-107841.78381564235	301.2484657207906	626
9.9%	495000	-107788.63141117035	300.4458338688606	626
9.9%	496000	-107926.48034995585	301.2203472619902	626
9.9%	497000	-107611.00577439531	302.4346443391627	626
10.0%	498000	-107992.48182542622	301.6197779783522	626
10.0%	499000	-108223.13206296391	302.29537079324365	626
10.0%	500000	-107594.79316811054	298.4459573372789	625
10.0%	501000	-107699.05468706624	302.1266006117831	625
10.0%	502000	-107159.70325613488	298.8419990521498	625
10.1%	503000	-107919.87956797308	302.68743115326765	625
10.1%	504000	-107967.11897373642	301.24910599938215	625
10.1%	505000	-107859.3223042998	302.1350545804873	625
10.1%	506000	-107507.20470557269	299.63431871183775	625
10.1%	507000	-107534.9880205805	303.30997353847073	625
